datetime,open,high,low,close
2026-02-21 12:30:00+00:00,0.87414,0.87418,0.87413,0.87414
2026-02-21 12:45:00+00:00,0.87414,0.87421,0.87413,0.87421
2026-02-21 13:00:00+00:00,0.87419,0.87429,0.87419,0.87427
2026-02-21 13:15:00+00:00,0.87425,0.87429,0.87424,0.87425
2026-02-21 13:30:00+00:00,0.87425,0.87429,0.87424,0.87425
2026-02-21 13:45:00+00:00,0.87425,0.87429,0.87424,0.87427
2026-02-21 14:00:00+00:00,0.87425,0.87429,0.87424,0.87427
2026-02-21 14:15:00+00:00,0.87425,0.87429,0.87407,0.87415
2026-02-21 14:30:00+00:00,0.87415,0.87419,0.87414,0.87415
2026-02-21 14:45:00+00:00,0.87415,0.87419,0.87414,0.87416
2026-02-21 15:00:00+00:00,0.87415,0.87419,0.87414,0.87417
2026-02-21 15:15:00+00:00,0.87415,0.87419,0.87414,0.87416
2026-02-21 15:30:00+00:00,0.87415,0.87419,0.87414,0.87415
2026-02-21 15:45:00+00:00,0.87415,0.87419,0.87414,0.87416
2026-02-21 16:00:00+00:00,0.87415,0.87419,0.87414,0.87417
2026-02-21 16:15:00+00:00,0.87415,0.87419,0.87414,0.87416
2026-02-21 16:30:00+00:00,0.87415,0.87419,0.87414,0.87415
2026-02-21 16:45:00+00:00,0.87415,0.87419,0.87414,0.87416
2026-02-21 17:00:00+00:00,0.87415,0.87417,0.87387,0.8739
2026-02-21 17:15:00+00:00,0.87389,0.87392,0.87387,0.8739
2026-02-21 17:30:00+00:00,0.87389,0.87392,0.87387,0.87388
2026-02-21 17:45:00+00:00,0.87389,0.87392,0.87387,0.87389
2026-02-21 18:00:00+00:00,0.87389,0.87391,0.87351,0.87369
2026-02-21 18:15:00+00:00,0.87367,0.87371,0.87366,0.87369
2026-02-21 18:30:00+00:00,0.87367,0.87371,0.87366,0.87367
2026-02-21 18:45:00+00:00,0.87367,0.87371,0.87366,0.87367
2026-02-21 19:00:00+00:00,0.87367,0.87367,0.87349,0.87352
2026-02-21 19:15:00+00:00,0.8735,0.87354,0.87349,0.87352
2026-02-21 19:30:00+00:00,0.8735,0.87354,0.87349,0.8735
2026-02-21 19:45:00+00:00,0.8735,0.87354,0.87349,0.8735
2026-02-21 20:00:00+00:00,0.8735,0.87354,0.87349,0.87351
2026-02-21 20:15:00+00:00,0.8735,0.87354,0.87349,0.87352
2026-02-21 20:30:00+00:00,0.8735,0.87354,0.87349,0.8735
2026-02-21 20:45:00+00:00,0.8735,0.87354,0.87349,0.87349
2026-02-21 21:00:00+00:00,0.8735,0.87354,0.87349,0.87351
2026-02-21 21:15:00+00:00,0.8735,0.87354,0.87349,0.87352
