datetime,open,high,low,close
2026-02-21 12:30:00+00:00,155.07617,155.08471,155.07598,155.08016
2026-02-21 12:45:00+00:00,155.07807,155.08479,155.04311,155.04311
2026-02-21 13:00:00+00:00,155.04397,155.07725,155.04144,155.07109
2026-02-21 13:15:00+00:00,155.07115,155.0779,155.0692,155.07421
2026-02-21 13:30:00+00:00,155.07115,155.0779,155.06904,155.07378
2026-02-21 13:45:00+00:00,155.07115,155.07779,155.06906,155.07061
2026-02-21 14:00:00+00:00,155.07115,155.07787,155.06911,155.07062
2026-02-21 14:15:00+00:00,155.07115,155.0778,155.06802,155.07113
2026-02-21 14:30:00+00:00,155.0685,155.07525,155.06639,155.07156
2026-02-21 14:45:00+00:00,155.0685,155.07525,155.06655,155.06844
2026-02-21 15:00:00+00:00,155.0685,155.07522,155.06641,155.06761
2026-02-21 15:15:00+00:00,155.0685,155.07522,155.06646,155.07061
2026-02-21 15:30:00+00:00,155.0685,155.07525,155.06641,155.07184
2026-02-21 15:45:00+00:00,155.0685,155.07504,155.06639,155.069
2026-02-21 16:00:00+00:00,155.0685,155.07525,155.06641,155.06739
2026-02-21 16:15:00+00:00,155.0685,155.07522,155.06646,155.07002
2026-02-21 16:30:00+00:00,155.0685,155.07522,155.06641,155.07198
2026-02-21 16:45:00+00:00,155.0685,155.07525,155.06655,155.06961
2026-02-21 17:00:00+00:00,155.0685,155.07694,154.96814,155.0134
2026-02-21 17:15:00+00:00,155.01455,155.02124,155.01249,155.01533
2026-02-21 17:30:00+00:00,155.01455,155.02123,155.01248,155.01798
2026-02-21 17:45:00+00:00,155.01455,155.02129,155.01245,155.01639
2026-02-21 18:00:00+00:00,155.01455,155.01828,154.96944,154.97042
2026-02-21 18:15:00+00:00,154.97139,154.9781,154.96931,154.9715
2026-02-21 18:30:00+00:00,154.97139,154.97811,154.96937,154.97455
2026-02-21 18:45:00+00:00,154.97139,154.97814,154.9693,154.97388
2026-02-21 19:00:00+00:00,154.97153,154.97509,154.93477,154.93626
2026-02-21 19:15:00+00:00,154.93687,154.9436,154.9348,154.93641
2026-02-21 19:30:00+00:00,154.93687,154.94355,154.9348,154.93958
2026-02-21 19:45:00+00:00,154.93687,154.9436,154.93477,154.93986
2026-02-21 20:00:00+00:00,154.93687,154.94362,154.93497,154.93672
2026-02-21 20:15:00+00:00,154.93687,154.9436,154.93477,154.93603
2026-02-21 20:30:00+00:00,154.93687,154.94355,154.9348,154.93908
2026-02-21 20:45:00+00:00,154.93687,154.9436,154.9348,154.94017
2026-02-21 21:00:00+00:00,154.93687,154.94347,154.93477,154.93727
2026-02-21 21:15:00+00:00,154.93687,154.94362,154.93477,154.93579
2026-02-21 21:30:00+00:00,154.93687,154.9436,154.93488,154.9385
2026-02-21 21:45:00+00:00,154.93687,154.94355,154.9348,154.94033
2026-02-21 22:00:00+00:00,154.93687,154.94319,154.90251,154.91031
2026-02-21 22:15:00+00:00,154.90925,154.91599,154.90714,154.90808
2026-02-21 22:30:00+00:00,154.90925,154.91587,154.90715,154.9102
2026-02-21 22:45:00+00:00,154.90925,154.91616,154.9072,154.9127
2026-02-21 23:00:00+00:00,154.90925,154.91594,154.90717,154.91092
2026-02-21 23:15:00+00:00,154.90925,154.91599,154.90728,154.90818
2026-02-21 23:30:00+00:00,154.90925,154.91599,154.90714,154.9096
2026-02-21 23:45:00+00:00,154.90925,154.91587,154.90715,154.91253
2026-02-22 00:00:00+00:00,154.90925,154.97602,154.8986,154.97284
2026-02-22 00:15:00+00:00,154.97072,154.97743,154.96868,154.96983
2026-02-22 00:30:00+00:00,154.97072,155.01674,154.96711,155.01007
2026-02-22 00:45:00+00:00,155.01006,155.0168,155.00807,155.01316
2026-02-22 01:00:00+00:00,155.01006,155.01681,155.00796,155.01263
2026-02-22 01:15:00+00:00,155.01006,155.01667,155.00796,155.00947
2026-02-22 01:30:00+00:00,155.01006,155.01679,155.008,155.00958
2026-02-22 01:45:00+00:00,155.01006,155.01674,155.00799,155.01275
2026-02-22 02:00:00+00:00,155.01006,155.0168,155.00796,155.01307
2026-02-22 02:15:00+00:00,155.01006,155.01681,155.00815,155.00993
2026-02-22 02:30:00+00:00,155.01006,155.01679,155.00796,155.0092
2026-02-22 02:45:00+00:00,155.01006,155.01675,155.008,155.01224
2026-02-22 03:00:00+00:00,155.01006,155.0168,155.00799,155.01337
2026-02-22 03:15:00+00:00,155.01006,155.01665,155.00796,155.01049
2026-02-22 03:30:00+00:00,155.01006,155.01681,155.00796,155.00897
2026-02-22 03:45:00+00:00,155.01006,155.01679,155.00805,155.01166
2026-02-22 04:00:00+00:00,155.01006,155.01675,155.00799,155.01353
2026-02-22 04:15:00+00:00,155.01006,155.0168,155.00807,155.01109
2026-02-22 04:30:00+00:00,155.01006,155.01681,155.00796,155.0089
2026-02-22 04:45:00+00:00,155.01006,155.01667,155.00796,155.01104
2026-02-22 05:00:00+00:00,155.01006,155.01679,155.008,155.01352
2026-02-22 05:15:00+00:00,155.01006,155.01675,155.00799,155.0117
2026-02-22 05:30:00+00:00,155.01006,155.0168,155.00807,155.00898
2026-02-22 05:45:00+00:00,155.01006,155.01681,155.00796,155.01044
2026-02-22 06:00:00+00:00,155.01006,155.01667,155.00796,155.01336
2026-02-22 06:15:00+00:00,155.01006,155.01679,155.008,155.01228
2026-02-22 06:30:00+00:00,155.01006,155.01674,155.00799,155.00923
2026-02-22 06:45:00+00:00,155.01006,155.0168,155.00796,155.0099
2026-02-22 07:00:00+00:00,155.01006,155.01681,155.00815,155.01304
2026-02-22 07:15:00+00:00,155.01006,155.01679,155.00796,155.01279
2026-02-22 07:30:00+00:00,155.01006,155.01675,155.008,155.00961
2026-02-22 07:45:00+00:00,155.01006,155.0168,155.00799,155.00944
2026-02-22 08:00:00+00:00,155.01006,155.01665,155.00796,155.0126
2026-02-22 08:15:00+00:00,155.01006,155.01681,155.00796,155.01318
2026-02-22 08:30:00+00:00,155.01006,155.01679,155.00805,155.01011
2026-02-22 08:45:00+00:00,155.01006,155.01675,155.00799,155.00911
2026-02-22 09:00:00+00:00,155.01006,155.0168,155.00807,155.01206
2026-02-22 09:15:00+00:00,155.01006,155.01681,155.00796,155.01344
2026-02-22 09:30:00+00:00,155.01006,155.01667,155.00796,155.01068
2026-02-22 09:45:00+00:00,155.01006,155.01679,155.008,155.00893
2026-02-22 10:00:00+00:00,155.01006,155.01674,155.00799,155.01146
2026-02-22 10:15:00+00:00,155.01006,155.0168,155.00796,155.01355
2026-02-22 10:30:00+00:00,155.01006,155.01681,155.00816,155.01129
2026-02-22 10:45:00+00:00,155.01006,155.01679,155.00796,155.00891
2026-02-22 11:00:00+00:00,155.01006,155.01675,155.008,155.01084
2026-02-22 11:15:00+00:00,155.01006,155.01674,155.00799,155.01349
2026-02-22 11:30:00+00:00,155.01006,155.0168,155.00796,155.0119
2026-02-22 11:45:00+00:00,155.01006,155.01681,155.00816,155.00905
2026-02-22 12:00:00+00:00,155.01006,155.01679,155.00796,155.01026
2026-02-22 12:15:00+00:00,155.01006,155.01675,155.008,155.01327
2026-02-22 12:30:00+00:00,155.01006,155.0168,155.00799,155.01246
2026-02-22 12:45:00+00:00,155.01006,155.01665,155.00796,155.00934
2026-02-22 13:00:00+00:00,155.01006,155.01681,155.00796,155.00974
2026-02-22 13:15:00+00:00,155.01006,155.01679,155.00806,155.01291
2026-02-22 13:30:00+00:00,155.01006,155.01675,155.00799,155.01293
2026-02-22 13:45:00+00:00,155.01006,155.0168,155.00807,155.00976
2026-02-22 14:00:00+00:00,155.01006,155.01681,155.00796,155.00932
2026-02-22 14:15:00+00:00,155.01006,155.05161,155.00971,155.03789
2026-02-22 14:30:00+00:00,155.03547,155.04221,155.03339,155.03867
