datetime,open,high,low,close
2026-02-21 12:45:00+00:00,0.77541,0.7755,0.7754,0.7755
2026-02-21 13:00:00+00:00,0.77549,0.77555,0.77548,0.77555
2026-02-21 13:15:00+00:00,0.77554,0.77557,0.77553,0.77554
2026-02-21 13:30:00+00:00,0.77554,0.77557,0.77553,0.77553
2026-02-21 13:45:00+00:00,0.77554,0.77557,0.77553,0.77555
2026-02-21 14:00:00+00:00,0.77554,0.77557,0.77553,0.77555
2026-02-21 14:15:00+00:00,0.77554,0.77559,0.77553,0.77557
2026-02-21 14:30:00+00:00,0.77557,0.7756,0.77556,0.77556
2026-02-21 14:45:00+00:00,0.77557,0.7756,0.77556,0.77558
2026-02-21 15:00:00+00:00,0.77557,0.7756,0.77556,0.77559
2026-02-21 15:15:00+00:00,0.77557,0.7756,0.77556,0.77557
2026-02-21 15:30:00+00:00,0.77557,0.7756,0.77556,0.77556
2026-02-21 15:45:00+00:00,0.77557,0.7756,0.77556,0.77557
2026-02-21 16:00:00+00:00,0.77557,0.7756,0.77556,0.77559
2026-02-21 16:15:00+00:00,0.77557,0.7756,0.77556,0.77558
2026-02-21 16:30:00+00:00,0.77557,0.7756,0.77556,0.77556
2026-02-21 16:45:00+00:00,0.77557,0.7756,0.77556,0.77557
2026-02-21 17:00:00+00:00,0.77557,0.77558,0.77537,0.7754
2026-02-21 17:15:00+00:00,0.77538,0.77542,0.77537,0.7754
2026-02-21 17:30:00+00:00,0.77538,0.77542,0.77537,0.77538
2026-02-21 17:45:00+00:00,0.77538,0.77542,0.77537,0.77538
2026-02-21 18:00:00+00:00,0.77538,0.7754,0.77514,0.77525
2026-02-21 18:15:00+00:00,0.77524,0.77527,0.77523,0.77525
2026-02-21 18:30:00+00:00,0.77524,0.77527,0.77523,0.77523
2026-02-21 18:45:00+00:00,0.77524,0.77527,0.77523,0.77523
2026-02-21 19:00:00+00:00,0.77523,0.77524,0.77511,0.77513
2026-02-21 19:15:00+00:00,0.77512,0.77515,0.77511,0.77513
2026-02-21 19:30:00+00:00,0.77512,0.77515,0.77511,0.77512
2026-02-21 19:45:00+00:00,0.77512,0.77515,0.77511,0.77511
2026-02-21 20:00:00+00:00,0.77512,0.77515,0.77511,0.77513
2026-02-21 20:15:00+00:00,0.77512,0.77515,0.77511,0.77514
2026-02-21 20:30:00+00:00,0.77512,0.77515,0.77511,0.77512
2026-02-21 20:45:00+00:00,0.77512,0.77515,0.77511,0.77511
2026-02-21 21:00:00+00:00,0.77512,0.77515,0.77511,0.77513
2026-02-21 21:15:00+00:00,0.77512,0.77515,0.77511,0.77514
2026-02-21 21:30:00+00:00,0.77512,0.77515,0.77511,0.77513
2026-02-21 21:45:00+00:00,0.77512,0.77515,0.77511,0.77511
2026-02-21 22:00:00+00:00,0.77512,0.77515,0.77501,0.77503
2026-02-21 22:15:00+00:00,0.77502,0.77506,0.77501,0.77504
2026-02-21 22:30:00+00:00,0.77502,0.77506,0.77501,0.77503
2026-02-21 22:45:00+00:00,0.77502,0.77506,0.77501,0.77502
2026-02-21 23:00:00+00:00,0.77502,0.77506,0.77501,0.77503
2026-02-21 23:15:00+00:00,0.77502,0.77506,0.77501,0.77504
2026-02-21 23:30:00+00:00,0.77502,0.77506,0.77501,0.77504
2026-02-21 23:45:00+00:00,0.77502,0.77506,0.77501,0.77502
2026-02-22 00:00:00+00:00,0.77502,0.77528,0.77501,0.77515
